activity_id,activity_name,start,end,patient
a67d69be-d371-4f70-87fe-f5c999f44de1,Donor check-in,2024-09-11 16:04:07.242011,2024-09-11 16:04:11.160313,Patient Left
a9b06dd5-14e3-4d3a-8612-9a7beb988e3b,HCW check-in,2024-09-11 16:04:12.680804,2024-09-11 16:04:16.824618,Patient Left
20906e47-d40b-45f2-a65b-173dbb8f6431,Hand hygiene,2024-09-11 16:04:19.526257,2024-09-11 16:04:29.333264,Patient Left
9d37ae30-3455-4566-83dd-5cf6e7d3bcf5,Check blood drawing machine,2024-09-11 16:04:34.051653,2024-09-11 16:04:38.805105,Patient Left
3f560d09-c0b4-4b21-803b-c7d53483c86c,Apply tourniquet,2024-09-11 16:04:49.577692,2024-09-11 16:05:01.624255,Patient Left
20906e47-d40b-45f2-a65b-173dbb8f6431,Hand hygiene and wear gloves,2024-09-11 16:05:07.728441,2024-09-11 16:05:44.835537,Patient Left
584e55d1-6d29-4755-8157-8425e350d58f,Disinfect injection site,2024-09-11 16:05:48.157828,2024-09-11 16:06:02.657543,Patient Left
ec51e296-e89b-4f04-9269-eba290522620,Insert needle,2024-09-11 16:06:10.548844,2024-09-11 16:06:16.835459,Patient Left
458e722f-09a4-44ab-ad01-ad9776af9ea6,Remove tourniquet,2024-09-11 16:06:22.773616,2024-09-11 16:06:29.160931,Patient Left
7b49baac-e486-4043-8a77-e615b77fa894,Start blood drawing machine,2024-09-11 16:06:30.804687,2024-09-11 16:06:33.990477,Patient Left
0e7ff5d4-31da-4d90-a342-6e05fc718c1d,Monitor patient,2024-09-11 16:06:37.730350,2024-09-11 16:06:45.055482,Patient Left
3f266752-410a-4b3b-98a2-1d6982092cc1,Stop blood drawing machine,2024-09-11 16:06:48.773744,2024-09-11 16:06:51.835109,Patient Left
a4485d2e-56db-4da8-9373-3478d95254fa,Remove needle,2024-09-11 16:06:55.293380,2024-09-11 16:07:08.757783,Patient Left
20906e47-d40b-45f2-a65b-173dbb8f6431,Remove gloves and hand hygiene,2024-09-11 16:07:11.886636,2024-09-11 16:07:27.810830,Patient Left
339b2376-8b7e-42e2-9f97-318155e799b4,Donor check-out,2024-09-11 16:07:29.485896,2024-09-11 16:07:29.905498,Patient Left
baa31a27-fcb4-4cc7-8247-d7fa5eda96c7,Take out samples,2024-09-11 16:07:35.773225,2024-09-11 16:07:43.785146,Patient Left
20906e47-d40b-45f2-a65b-173dbb8f6431,Hand hygiene,2024-09-11 16:07:49.698672,2024-09-11 16:07:52.216459,Patient Left
7a41d5ac-378f-4141-bcd0-d1268b27d4d6,HCW check-out,2024-09-11 16:07:53.629907,2024-09-11 16:07:55.550463,Patient Left
