activity_id,activity_name,start,end,patient
22f61825-4b49-429a-969e-e29ee63b6fec,Donor check-in,2024-09-12 16:09:34.557760,2024-09-12 16:09:38.933163,Patient Left
dba4cb73-052c-4539-8ab6-033cefa764d1,HCW check-in,2024-09-12 16:09:42.075311,2024-09-12 16:09:46.023502,Patient Left
a9746dcf-1c19-49b5-a991-1825c5a254df,Hand hygiene,2024-09-12 16:09:47.367165,2024-09-12 16:09:56.577360,Patient Left
623ca3c4-f655-43e6-96d1-43204d73a687,Check blood drawing machine,2024-09-12 16:09:57.209954,2024-09-12 16:10:01.198572,Patient Left
2761bc54-2a4b-49e1-970f-13b3ba4cbb85,Apply tourniquet,2024-09-12 16:10:01.863009,2024-09-12 16:10:17.048732,Patient Left
a9746dcf-1c19-49b5-a991-1825c5a254df,Hand hygiene and wear gloves,2024-09-12 16:10:17.909704,2024-09-12 16:10:49.231877,Patient Left
6e3a9efe-a92d-4a1d-9f8a-d79934113536,Disinfect injection site,2024-09-12 16:11:00.402784,2024-09-12 16:11:12.642733,Patient Left
3b64b884-530c-4710-b45e-b1c398df662a,Insert needle,2024-09-12 16:11:19.057254,2024-09-12 16:11:35.657727,Patient Left
7890273e-a326-481a-99e3-b72714b9c960,Remove tourniquet,2024-09-12 16:11:36.245740,2024-09-12 16:11:40.783288,Patient Left
e6d1c5ae-42cf-46a4-abbd-1dea4b69c6f6,Start blood drawing machine,2024-09-12 16:11:46.180988,2024-09-12 16:11:48.009100,Patient Left
e66e3b20-ef0a-4870-9768-7693c3c63166,Monitor patient,2024-09-12 16:11:59.190336,2024-09-12 16:12:05.688064,Patient Left
79f6925a-bb13-4530-94e5-540ce56ce6ca,Stop blood drawing machine,2024-09-12 16:12:10.421664,2024-09-12 16:12:13.209033,Patient Left
9b86c465-fc6d-4c8c-a3f8-76b5840e74f7,Remove needle,2024-09-12 16:12:15.400785,2024-09-12 16:12:29.685344,Patient Left
a9746dcf-1c19-49b5-a991-1825c5a254df,Remove gloves and hand hygiene,2024-09-12 16:12:32.984727,2024-09-12 16:12:50.591593,Patient Left
78919e82-a835-4a3c-be8e-26f9a1d5f01e,Donor check-out,2024-09-12 16:12:51.885925,2024-09-12 16:12:55.253921,Patient Left
ec58a535-87c3-434e-884a-b70d7833c4be,Disturbance,2024-09-12 16:12:59.043295,2024-09-12 16:13:02.888617,Patient Left
a9746dcf-1c19-49b5-a991-1825c5a254df,Hand hygiene,2024-09-12 16:13:04.780829,2024-09-12 16:13:13.272236,Patient Left
d6f16c0b-1505-4912-9643-211354bbae7b,Take out samples,2024-09-12 16:13:14.483185,2024-09-12 16:13:22.856836,Patient Left
a9746dcf-1c19-49b5-a991-1825c5a254df,Hand hygiene,2024-09-12 16:13:25.896050,2024-09-12 16:13:35.299584,Patient Left
0c7fb620-c047-4af0-9da0-59e22fa5e8c4,HCW check-out,2024-09-12 16:13:37.008009,2024-09-12 16:13:41.232043,Patient Left
