activity_id,activity_name,start,end,patient
22f61825-4b49-429a-969e-e29ee63b6fec,Donor check-in,2024-09-12 16:15:44.942900,2024-09-12 16:15:50.080406,Patient Left
dba4cb73-052c-4539-8ab6-033cefa764d1,HCW check-in,2024-09-12 16:15:55.387347,2024-09-12 16:15:59.101643,Patient Left
a9746dcf-1c19-49b5-a991-1825c5a254df,Hand hygiene,2024-09-12 16:16:00.165963,2024-09-12 16:16:18.921651,Patient Left
623ca3c4-f655-43e6-96d1-43204d73a687,Check blood drawing machine,2024-09-12 16:16:21.356476,2024-09-12 16:16:26.165595,Patient Left
ec58a535-87c3-434e-884a-b70d7833c4be,Disturbance,2024-09-12 16:16:27.635232,2024-09-12 16:16:32.065550,Patient Left
a9746dcf-1c19-49b5-a991-1825c5a254df,Hand hygiene,2024-09-12 16:16:33.458423,2024-09-12 16:16:48.016593,Patient Left
2761bc54-2a4b-49e1-970f-13b3ba4cbb85,Apply tourniquet,2024-09-12 16:16:49.541906,2024-09-12 16:16:55.966145,Patient Left
a9746dcf-1c19-49b5-a991-1825c5a254df,Hand hygiene and wear gloves,2024-09-12 16:16:58.304093,2024-09-12 16:17:18.708459,Patient Left
6e3a9efe-a92d-4a1d-9f8a-d79934113536,Disinfect injection site,2024-09-12 16:17:20.303039,2024-09-12 16:17:34.392556,Patient Left
3b64b884-530c-4710-b45e-b1c398df662a,Insert needle,2024-09-12 16:17:42.028008,2024-09-12 16:18:04.524860,Patient Left
7890273e-a326-481a-99e3-b72714b9c960,Remove tourniquet,2024-09-12 16:18:07.542876,2024-09-12 16:18:11.964335,Patient Left
e6d1c5ae-42cf-46a4-abbd-1dea4b69c6f6,Start blood drawing machine,2024-09-12 16:18:13.708881,2024-09-12 16:18:17.892279,Patient Left
e66e3b20-ef0a-4870-9768-7693c3c63166,Monitor patient,2024-09-12 16:18:24.086949,2024-09-12 16:18:28.503036,Patient Left
79f6925a-bb13-4530-94e5-540ce56ce6ca,Stop blood drawing machine,2024-09-12 16:18:29.980507,2024-09-12 16:18:32.534771,Patient Left
9b86c465-fc6d-4c8c-a3f8-76b5840e74f7,Remove needle,2024-09-12 16:18:33.926292,2024-09-12 16:18:44.656504,Patient Left
a9746dcf-1c19-49b5-a991-1825c5a254df,Remove gloves and hand hygiene,2024-09-12 16:18:47.623864,2024-09-12 16:19:09.924934,Patient Left
78919e82-a835-4a3c-be8e-26f9a1d5f01e,Donor check-out,2024-09-12 16:19:10.658923,2024-09-12 16:19:13.640329,Patient Left
d6f16c0b-1505-4912-9643-211354bbae7b,Take out samples,2024-09-12 16:19:14.599370,2024-09-12 16:19:22.804228,Patient Left
a9746dcf-1c19-49b5-a991-1825c5a254df,Hand hygiene,2024-09-12 16:19:26.675974,2024-09-12 16:19:35.685149,Patient Left
0c7fb620-c047-4af0-9da0-59e22fa5e8c4,HCW check-out,2024-09-12 16:19:36.494614,2024-09-12 16:19:39.728456,Patient Left
